order_id;customer_id;order_ts;status;payment_method;total_amount;currency;ingestion_ts;ingest_date;source_file
O000001;C00083;;paid;debit_card;48.82;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000002;C00080;01/12/2025 05:57;created;credit_card;273.29;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000003;C00098;01/12/2025 16:11;created;pix;253.15;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000004;C00029;01/12/2025 23:51;paid;credit_card;390.82;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000005;C00036;01/12/2025 11:07;shipped;;254.92;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000006;C00014;01/12/2025 06:12;paid;credit_card;997.05;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000007;C00080;2025-12-01 17:11:00;shipped;credit_card;661.65;USD;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000008;C00060;2025-12-01 19:05:00;cancelled;;0;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000009;C00108;2025-12-01 22:51:00;paid;debit_card;267.58;;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000010;C00070;2025-12-01 11:15:00;shipped;boleto;84.28;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000011;C00071;2025-12-01 01:29:00;delivered;credit_card;255.52;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000012;C00093;2025-12-01 11:37:00;paid;credit_card;240.81;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000013;C00119;01/12/2025 22:19;delivered;pix;951.24;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000014;C00055;2025-12-01 20:01:00;cancelled;debit_card;321.35;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000015;C00075;01/12/2025 08:59;DELIVERED;pix;449.47;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000016;C00093;2025-12-01 12:11:00;created;pix;141.39;;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000017;C00112;2025-12-01 14:28:00;cancelled;credit_card;394.79;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000018;C00059;2025-12-01 00:40:00;shipped;boleto;18.29;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
;C00035;2025-12-01 12:19:00;paid;credit_card;503.43;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000020;C00054;2025-12-01 08:21:00;shipped;credit_card;114.82;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000021;C00116;01/12/2025 15:58;;credit_card;85.51;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000022;C00056;2025-12-01 19:28:00;shipped;pix;200.44;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
;C00117;01/12/2025 20:24;paid;credit_card;383.47;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000024;C00017;01/12/2025 15:28;delivered;credit_card;199.2;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000025;C00018;2025-12-01 07:40:00;paid;pix;NaN;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000026;C00114;2025-12-01 12:11:00;created;credit_card;319.84;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000027;C00046;;created;pix;116.87;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000028;C00099;2025-12-01 15:24:00;created;credit_card;198.09;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000029;C00105;2025-12-01 15:08:00;paid;pix;130.26;;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000030;C00057;2025-12-01 21:16:00;created;pix;249.38;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000031;C00025;2025-12-01 06:29:00;delivered;credit_card;205.69;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000032;C00043;01/12/2025 14:42;paid;credit_card;250.39;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000033;C00105;01/12/2025 04:15;paid;credit_card;964.74;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000034;C00076;2025-12-01 11:48:00;cancelled;credit_card;87.1;USD;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000035;C00106;2025-12-01 07:29:00;shipped;;537.5;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000036;C00112;2025-12-01 00:09:00;delivered;credit_card;9.7;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000037;C00018;;paid;boleto;81.09;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000038;C00016;2025-12-01 13:17:00;paid;credit_card;0;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000039;C00022;;created;pix;200.31;USD;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000040;C00074;01/12/2025 21:14;paid;boleto;322.15;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000041;C00044;2025-12-01 14:36:00;paid;pix;169.75;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000042;C00027;01/12/2025 17:08;paid;pix;212.78;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000043;C00118;01/12/2025 19:02;created;credit_card;209.69;;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000044;C00068;2025-12-01 16:55:00;created;credit_card;228.95;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000045;C00027;2025-12-01 06:13:00;shipped;debit_card;240.58;USD;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000046;C00084;01/12/2025 18:08;paid;boleto;203.3;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000047;C00009;2025-12-01 02:25:00;paid;;171.28;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000048;C00081;2025-12-01 03:43:00;shipped;credit_card;188.48;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000049;C00079;2025-12-01 21:02:00;delivered;boleto;;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000050;C00042;;created;;268.05;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000051;C00095;01/12/2025 14:12;delivered;credit_card;132.6;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000052;C00027;2025-12-01 21:45:00;delivered;credit_card;102.79;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000053;C00077;2025-12-01 01:02:00;created;boleto;46.62;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000054;C00040;2025-12-01 20:40:00;cancelled;pix;655.76;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000055;C00093;2025-12-01 13:46:00;cancelled;boleto;75.88;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000056;C00026;01/12/2025 13:14;created;credit_card;115.05;;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000057;C00024;2025-12-01 11:28:00;paid;boleto;372.29;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000058;C00042;01/12/2025 01:44;delivered;credit_card;63.02;brl;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000059;C00114;01/12/2025 18:42;delivered;credit_card;146.01;;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000060;C00089;2025-12-01 08:30:00;paid;credit_card;424.09;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000061;C00116;01/12/2025 06:24;paid;boleto;218.96;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000062;C00077;2025-12-01 06:44:00;paid;pix;795.72;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000063;C00003;01/12/2025 13:42;shipped;pix;353.28;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000064;C00107;2025-12-01 08:37:00;delivered;credit_card;72.2;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000065;C00018;2025-12-01 07:55:00;paid;debit_card;199.90;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000066;C00077;2025-12-01 11:48:00;shipped;credit_card;48.97;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000067;C00107;2025-12-01 12:50:00;delivered;boleto;327.21;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000068;C00082;2025-12-01 17:26:00;created;credit_card;155.55;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000069;C00092;01/12/2025 16:36;paid;credit_card;321.97;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000070;C00101;01/12/2025 11:16;delivered;pix;608.58;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000071;C00051;2025-12-01 11:53:00;cancelled;credit_card;592.74;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000072;C00060;2025-12-01 01:22:00;shipped;boleto;199.07;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000073;C00049;01/12/2025 19:28;shipped;pix;383.97;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000074;C00041;2025-12-01 18:28:00;created;credit_card;171.65;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000075;C00008;2025-12-01 18:21:00;shipped;debit_card;258.16;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000076;C00006;2025-12-01 07:36:00;shipped;credit_card;55.53;;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000077;C00027;2025-12-01 00:00:00;paid;pix;116.94;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000078;C00040;01/12/2025 00:50;paid;debit_card;331.9;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000079;C00083;01/12/2025 11:24;paid;pix;41.96;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000080;C00008;2025-12-01 11:56:00;created;credit_card;239.99;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000081;C00027;2025-12-01 07:28:00;paid;;254.65;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000082;C00018;2025-12-01 14:40:00;paid;pix;339.11;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000083;C00070;2025-12-01 08:07:00;paid;credit_card;55.84;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000084;C00014;01/12/2025 00:33;created;credit_card;45.49;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000085;C00028;2025-12-01 22:51:00;cancelled;boleto;427.95;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000086;C00035;2025-12-01 01:34:00;shipped;pix;254.8;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000087;C00050;2025-12-01 18:15:00;delivered;pix;173.46;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000088;C00016;01/12/2025 02:33;delivered;debit_card;53.36;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000089;C00097;2025-12-01 04:09:00;shipped;boleto;164.56;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000090;C00111;2025-12-01 11:13:00;created;credit_card;88.8;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000091;C00056;;shipped;credit_card;413.56;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000092;C00059;01/12/2025 01:57;shipped;credit_card;69.85;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000093;C00050;2025-12-01 12:50:00;delivered;boleto;188.92;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000094;C00026;2025-12-01 22:09:00;shipped;credit_card;386.35;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000095;C00084;2025-12-01 04:27:00;created;pix;341.51;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000096;C00064;2025-12-01 17:57:00;paid;boleto;157.54;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000097;C00097;2025-12-01 03:55:00;paid;debit_card;344.62;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000098;C00094;01/12/2025 06:28;delivered;credit_card;386.77;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000099;C00095;2025-12-01 16:29:00;shipped;boleto;246.67;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000100;C00108;2025-12-01 12:42:00;paid;credit_card;305.5;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000101;C00013;2025-12-01 06:40:00;;boleto;190.82;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000102;C00084;01/12/2025 10:23;delivered;credit_card;464.79;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000103;C00020;2025-12-01 12:46:00;paid;credit_card;211.07;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000104;C00051;2025-12-01 22:06:00;created;boleto;63.58;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000105;C00023;01/12/2025 15:18;paid;credit_card;316.6;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000106;C00026;2025-12-01 20:30:00;paid;credit_card;92.87;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000107;C00007;2025-12-01 20:52:00;paid;boleto;505.63;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000108;C00021;01/12/2025 14:12;paid;boleto;298.68;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000109;C00105;2025-12-01 09:37:00;paid;pix;33.2;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000110;C00110;2025-12-01 01:14:00;paid;pix;398.52;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000024;C00017;01/12/2025 15:28;delivered;credit_card;199.2;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000081;C00027;2025-12-01 07:28:00;paid;;254.65;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000097;C00097;2025-12-01 03:55:00;paid;debit_card;344.62;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000068;C00082;2025-12-01 17:26:00;created;credit_card;155.55;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
;C00035;2025-12-01 12:19:00;paid;credit_card;503.43;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000016;C00093;2025-12-01 12:11:00;created;pix;141.39;;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
